participant_type,participant_id,model_name,encoding_type,maze_size,maze_shape,solve_rate,solve_trials,recognize_rate,recognize_trials,generate_rate,generate_trials,edit_distance_mean,edit_distance_median,edit_distance_std
human,19980704,human,visual,5x5,C,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19980704,human,visual,5x5,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19980704,human,visual,5x5,cross,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19980704,human,visual,5x5,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19980704,human,visual,5x5,square,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19980704,human,visual,5x5,triangle,1.0,1,1.0,1,1.0,1,0.4,0.4,
human,19980704,human,visual,7x7,C,1.0,1,1.0,1,1.0,1,0.16326530612244897,0.16326530612244897,
human,19980704,human,visual,7x7,Z,1.0,1,1.0,1,1.0,1,0.24489795918367346,0.24489795918367346,
human,19980704,human,visual,7x7,cross,1.0,1,1.0,1,1.0,1,0.12244897959183673,0.12244897959183673,
human,19980704,human,visual,7x7,spiral,1.0,1,1.0,1,1.0,1,0.08163265306122448,0.08163265306122448,
human,19980704,human,visual,7x7,square,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19980704,human,visual,7x7,triangle,1.0,1,1.0,1,1.0,1,0.14285714285714285,0.14285714285714285,
human,19990318,human,visual,5x5,C,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990318,human,visual,5x5,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990318,human,visual,5x5,cross,1.0,2,1.0,1,1.0,1,0.0,0.0,
human,19990318,human,visual,5x5,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990318,human,visual,5x5,square,1.0,2,0.5,2,1.0,2,0.0,0.0,0.0
human,19990318,human,visual,5x5,triangle,1.0,1,1.0,1,1.0,1,0.32,0.32,
human,19990318,human,visual,7x7,C,1.0,1,1.0,1,1.0,1,0.16326530612244897,0.16326530612244897,
human,19990318,human,visual,7x7,Z,1.0,1,1.0,1,1.0,1,0.24489795918367346,0.24489795918367346,
human,19990318,human,visual,7x7,cross,1.0,1,1.0,1,1.0,1,0.14285714285714285,0.14285714285714285,
human,19990318,human,visual,7x7,spiral,1.0,1,1.0,1,1.0,1,0.08163265306122448,0.08163265306122448,
human,19990318,human,visual,7x7,square,1.0,1,1.0,1,1.0,1,0.16326530612244897,0.16326530612244897,
human,19990318,human,visual,7x7,triangle,1.0,1,1.0,1,1.0,1,0.22448979591836735,0.22448979591836735,
human,19990630,human,visual,5x5,C,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990630,human,visual,5x5,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990630,human,visual,5x5,cross,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990630,human,visual,5x5,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990630,human,visual,5x5,square,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990630,human,visual,5x5,triangle,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990630,human,visual,7x7,C,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990630,human,visual,7x7,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990630,human,visual,7x7,cross,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990630,human,visual,7x7,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990630,human,visual,7x7,square,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990630,human,visual,7x7,triangle,1.0,1,1.0,1,1.0,1,0.061224489795918366,0.061224489795918366,
human,19990708,human,visual,5x5,C,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990708,human,visual,5x5,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990708,human,visual,5x5,cross,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990708,human,visual,5x5,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990708,human,visual,5x5,square,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990708,human,visual,5x5,triangle,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990708,human,visual,7x7,C,1.0,1,1.0,1,1.0,1,0.16326530612244897,0.16326530612244897,
human,19990708,human,visual,7x7,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19990708,human,visual,7x7,cross,1.0,1,1.0,1,1.0,1,0.12244897959183673,0.12244897959183673,
human,19990708,human,visual,7x7,spiral,1.0,1,1.0,1,1.0,1,0.08163265306122448,0.08163265306122448,
human,19990708,human,visual,7x7,square,1.0,1,1.0,1,1.0,1,0.20408163265306123,0.20408163265306123,
human,19990708,human,visual,7x7,triangle,1.0,1,1.0,1,1.0,1,0.061224489795918366,0.061224489795918366,
human,19991011,human,visual,5x5,C,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19991011,human,visual,5x5,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19991011,human,visual,5x5,cross,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19991011,human,visual,5x5,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19991011,human,visual,5x5,square,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19991011,human,visual,5x5,triangle,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19991011,human,visual,7x7,C,1.0,1,1.0,1,1.0,1,0.16326530612244897,0.16326530612244897,
human,19991011,human,visual,7x7,Z,1.0,1,1.0,1,1.0,1,0.24489795918367346,0.24489795918367346,
human,19991011,human,visual,7x7,cross,1.0,1,1.0,1,1.0,1,0.12244897959183673,0.12244897959183673,
human,19991011,human,visual,7x7,spiral,1.0,1,1.0,1,1.0,1,0.08163265306122448,0.08163265306122448,
human,19991011,human,visual,7x7,square,1.0,1,1.0,1,1.0,1,0.20408163265306123,0.20408163265306123,
human,19991011,human,visual,7x7,triangle,1.0,1,1.0,1,1.0,1,0.061224489795918366,0.061224489795918366,
human,19991127,human,visual,5x5,C,0.0,1,1.0,1,1.0,1,0.0,0.0,
human,19991127,human,visual,5x5,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19991127,human,visual,5x5,cross,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19991127,human,visual,5x5,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19991127,human,visual,5x5,square,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19991127,human,visual,5x5,triangle,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19991127,human,visual,7x7,C,1.0,1,1.0,1,1.0,1,0.16326530612244897,0.16326530612244897,
human,19991127,human,visual,7x7,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19991127,human,visual,7x7,cross,1.0,1,1.0,1,1.0,1,0.12244897959183673,0.12244897959183673,
human,19991127,human,visual,7x7,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,19991127,human,visual,7x7,square,1.0,1,1.0,1,1.0,1,0.16326530612244897,0.16326530612244897,
human,19991127,human,visual,7x7,triangle,1.0,1,1.0,1,1.0,1,0.061224489795918366,0.061224489795918366,
human,20000315,human,visual,5x5,C,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20000315,human,visual,5x5,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20000315,human,visual,5x5,cross,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20000315,human,visual,5x5,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20000315,human,visual,5x5,square,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20000315,human,visual,5x5,triangle,1.0,1,1.0,1,1.0,1,0.4,0.4,
human,20000315,human,visual,7x7,C,1.0,1,1.0,1,1.0,1,0.16326530612244897,0.16326530612244897,
human,20000315,human,visual,7x7,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20000315,human,visual,7x7,cross,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20000315,human,visual,7x7,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20000315,human,visual,7x7,square,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20000315,human,visual,7x7,triangle,1.0,1,1.0,1,1.0,1,0.061224489795918366,0.061224489795918366,
human,20000509,human,visual,5x5,C,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20000509,human,visual,5x5,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20000509,human,visual,5x5,cross,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20000509,human,visual,5x5,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20000509,human,visual,5x5,square,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20000509,human,visual,5x5,triangle,1.0,1,1.0,1,1.0,1,0.36,0.36,
human,20000509,human,visual,7x7,C,1.0,1,1.0,1,1.0,1,0.16326530612244897,0.16326530612244897,
human,20000509,human,visual,7x7,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20000509,human,visual,7x7,cross,1.0,1,1.0,1,1.0,1,0.12244897959183673,0.12244897959183673,
