participant_type,participant_id,model_name,encoding_type,maze_size,maze_shape,maze_file,timestamp,json_file,solve_success,solve_moves,solve_time,recognize_success,recognized_shape,generate_success,generate_shape,edit_distance,trial_num
human,20001201,human,visual,5x5,C,5x5_C_4.npy,1753612271.0,20001201_5x5_C_1753612271.json,True,3.0,7.5347678661346436,True,C,True,C,0.0,
human,20001201,human,visual,7x7,square,7x7_square_28.npy,1753612353.0,20001201_7x7_square_1753612353.json,True,1.0,5.721593379974365,True,square,True,square,0.16326530612244897,
human,20001201,human,visual,5x5,spiral,5x5_spiral_0.npy,1753612157.0,20001201_5x5_spiral_1753612157.json,True,1.0,9.649132013320923,True,spiral,True,spiral,0.0,
human,20001201,human,visual,7x7,Z,7x7_Z_9.npy,1753612599.0,20001201_7x7_Z_1753612599.json,True,1.0,6.129109859466553,True,Z,True,Z,0.0,
human,20001201,human,visual,5x5,cross,5x5_cross_3.npy,1753612131.0,20001201_5x5_cross_1753612131.json,True,1.0,4.1176629066467285,True,cross,True,cross,0.0,
human,20001201,human,visual,5x5,square,5x5_square_2.npy,1753612081.0,20001201_5x5_square_1753612081.json,True,2.0,4.720666885375977,True,square,True,square,0.0,
human,20001201,human,visual,5x5,Z,5x5_Z_2.npy,1753612301.0,20001201_5x5_Z_1753612301.json,True,1.0,5.0203471183776855,True,Z,True,Z,0.0,
human,20001201,human,visual,7x7,C,7x7_C_8.npy,1753612565.0,20001201_7x7_C_1753612565.json,True,2.0,7.0763773918151855,True,C,True,C,0.16326530612244897,
human,20001201,human,visual,7x7,cross,7x7_cross_25.npy,1753612410.0,20001201_7x7_cross_1753612410.json,True,1.0,4.16967248916626,True,cross,True,cross,0.12244897959183673,
human,20001201,human,visual,7x7,triangle,7x7_triangle_25.npy,1753612518.0,20001201_7x7_triangle_1753612518.json,True,1.0,5.022373676300049,True,triangle,True,triangle,0.1836734693877551,
human,20001201,human,visual,5x5,triangle,5x5_triangle_4.npy,1753612226.0,20001201_5x5_triangle_1753612226.json,True,1.0,3.5754244327545166,True,triangle,True,triangle,0.0,
human,20001201,human,visual,7x7,spiral,7x7_spiral_15.npy,1753612452.0,20001201_7x7_spiral_1753612452.json,True,5.0,10.140360832214355,True,spiral,True,spiral,0.0,
human,20010115,human,visual,7x7,spiral,7x7_spiral_29.npy,1753615786.0,20010115_7x7_spiral_1753615786.json,True,5.0,15.353574275970459,True,spiral,True,spiral,0.0,
