participant_type,participant_id,maze_size,maze_shape,maze_file,edit_distance,path_ratio,timestamp,json_file
human,19980704,5x5,C,5x5_C_3.npy,0.0,0.28,1753373990,19980704_5x5_C_1753373990.json
human,19980704,5x5,Z,5x5_Z_4.npy,0.0,0.4,1753374046,19980704_5x5_Z_1753374046.json
human,19980704,5x5,cross,5x5_cross_0.npy,0.0,0.2,1753373014,19980704_5x5_cross_1753373014.json
human,19980704,5x5,spiral,5x5_spiral_3.npy,0.0,0.68,1753373083,19980704_5x5_spiral_1753373083.json
human,19980704,5x5,square,5x5_square_3.npy,0.0,0.32,1753372958,19980704_5x5_square_1753372958.json
human,19980704,5x5,triangle,5x5_triangle_2.npy,0.4,0.36,1753373868,19980704_5x5_triangle_1753373868.json
human,19980704,7x7,C,7x7_C_3.npy,0.16326530612244897,0.14285714285714285,1753374435,19980704_7x7_C_1753374435.json
human,19980704,7x7,Z,7x7_Z_7.npy,0.24489795918367346,0.20408163265306123,1753374481,19980704_7x7_Z_1753374481.json
human,19980704,7x7,cross,7x7_cross_28.npy,0.12244897959183673,0.10204081632653061,1753374199,19980704_7x7_cross_1753374199.json
human,19980704,7x7,spiral,7x7_spiral_10.npy,0.08163265306122448,0.3469387755102041,1753374265,19980704_7x7_spiral_1753374265.json
human,19980704,7x7,square,7x7_square_10.npy,0.0,0.16326530612244897,1753374147,19980704_7x7_square_1753374147.json
human,19980704,7x7,triangle,7x7_triangle_9.npy,0.14285714285714285,0.1836734693877551,1753374359,19980704_7x7_triangle_1753374359.json
human,19990318,5x5,C,5x5_C_2.npy,0.0,0.28,1753580127,19990318_5x5_C_1753580127.json
human,19990318,5x5,Z,5x5_Z_1.npy,0.0,0.4,1753580165,19990318_5x5_Z_1753580165.json
human,19990318,5x5,cross,5x5_cross_0.npy,0.0,0.2,1753579972,19990318_5x5_cross_1753579972.json
human,19990318,5x5,spiral,5x5_spiral_0.npy,0.0,0.68,1753580004,19990318_5x5_spiral_1753580004.json
human,19990318,5x5,square,5x5_square_2.npy,0.0,0.32,1753579841,19990318_5x5_square_1753579841.json
human,19990318,5x5,square,5x5_square_1.npy,0.0,0.32,1753579925,19990318_5x5_square_1753579925.json
human,19990318,5x5,triangle,5x5_triangle_1.npy,0.32,0.32,1753580087,19990318_5x5_triangle_1753580087.json
human,19990318,7x7,C,7x7_C_13.npy,0.16326530612244897,0.14285714285714285,1753580490,19990318_7x7_C_1753580490.json
human,19990318,7x7,Z,7x7_Z_9.npy,0.24489795918367346,0.20408163265306123,1753580534,19990318_7x7_Z_1753580534.json
human,19990318,7x7,cross,7x7_cross_5.npy,0.14285714285714285,0.12244897959183673,1753580299,19990318_7x7_cross_1753580299.json
human,19990318,7x7,spiral,7x7_spiral_28.npy,0.08163265306122448,0.3469387755102041,1753580352,19990318_7x7_spiral_1753580352.json
human,19990318,7x7,square,7x7_square_27.npy,0.16326530612244897,0.16326530612244897,1753580226,19990318_7x7_square_1753580226.json
human,19990318,7x7,triangle,7x7_triangle_16.npy,0.22448979591836735,0.1836734693877551,1753580430,19990318_7x7_triangle_1753580430.json
human,19990630,5x5,C,5x5_C_3.npy,0.0,0.28,1753614658,19990630_5x5_C_1753614658.json
human,19990630,5x5,Z,5x5_Z_3.npy,0.0,0.4,1753614698,19990630_5x5_Z_1753614698.json
human,19990630,5x5,cross,5x5_cross_1.npy,0.0,0.2,1753614530,19990630_5x5_cross_1753614530.json
human,19990630,5x5,spiral,5x5_spiral_1.npy,0.0,0.68,1753614559,19990630_5x5_spiral_1753614559.json
human,19990630,5x5,square,5x5_square_4.npy,0.0,0.32,1753614476,19990630_5x5_square_1753614476.json
human,19990630,5x5,triangle,5x5_triangle_3.npy,0.0,0.36,1753614620,19990630_5x5_triangle_1753614620.json
human,19990630,7x7,C,7x7_C_25.npy,0.0,0.14285714285714285,1753614937,19990630_7x7_C_1753614937.json
human,19990630,7x7,Z,7x7_Z_0.npy,0.0,0.20408163265306123,1753614978,19990630_7x7_Z_1753614978.json
human,19990630,7x7,cross,7x7_cross_6.npy,0.0,0.10204081632653061,1753614786,19990630_7x7_cross_1753614786.json
human,19990630,7x7,spiral,7x7_spiral_2.npy,0.0,0.3469387755102041,1753614815,19990630_7x7_spiral_1753614815.json
human,19990630,7x7,square,7x7_square_17.npy,0.0,0.16326530612244897,1753614741,19990630_7x7_square_1753614741.json
human,19990630,7x7,triangle,7x7_triangle_15.npy,0.061224489795918366,0.1836734693877551,1753614881,19990630_7x7_triangle_1753614881.json
human,19990708,5x5,C,5x5_C_4.npy,0.0,0.28,1753604165,19990708_5x5_C_1753604165.json
human,19990708,5x5,Z,5x5_Z_0.npy,0.0,0.4,1753604646,19990708_5x5_Z_1753604646.json
human,19990708,5x5,cross,5x5_cross_3.npy,0.0,0.2,1753603879,19990708_5x5_cross_1753603879.json
human,19990708,5x5,spiral,5x5_spiral_2.npy,0.0,0.68,1753604031,19990708_5x5_spiral_1753604031.json
human,19990708,5x5,square,5x5_square_3.npy,0.0,0.32,1753603806,19990708_5x5_square_1753603806.json
human,19990708,5x5,triangle,5x5_triangle_3.npy,0.0,0.36,1753604101,19990708_5x5_triangle_1753604101.json
human,19990708,7x7,C,7x7_C_3.npy,0.16326530612244897,0.14285714285714285,1753605102,19990708_7x7_C_1753605102.json
human,19990708,7x7,Z,7x7_Z_9.npy,0.0,0.20408163265306123,1753605180,19990708_7x7_Z_1753605180.json
human,19990708,7x7,cross,7x7_cross_11.npy,0.12244897959183673,0.10204081632653061,1753604901,19990708_7x7_cross_1753604901.json
human,19990708,7x7,spiral,7x7_spiral_15.npy,0.08163265306122448,0.3469387755102041,1753604957,19990708_7x7_spiral_1753604957.json
human,19990708,7x7,square,7x7_square_22.npy,0.20408163265306123,0.16326530612244897,1753604822,19990708_7x7_square_1753604822.json
