encoding_type,model_name,maze_size,maze_shape,trial_file,edit_distance
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/0.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/1.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/10.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/11.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/12.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/13.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/14.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/15.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/16.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/17.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/18.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/19.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/2.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/20.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/21.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/22.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/23.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/24.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/25.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/26.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/27.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/28.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/29.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/3.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/4.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/5.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/6.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/7.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/8.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_0.npy/9.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_1.npy/18.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_1.npy/24.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_1.npy/25.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_1.npy/28.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_2.npy/10.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_2.npy/11.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_2.npy/18.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_2.npy/20.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_2.npy/21.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_2.npy/23.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_2.npy/7.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_2.npy/8.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_3.npy/0.txt,0.6
matrix,anthropic,5x5,C,matrix_claude_results/5x5/C/5x5_C_3.npy/1.txt,0.6
